date,cu_regime,guidance_status_v2,throughput_tpd,cu_solution_ppm_avg,specific_nacn_kgpt,free_cn_ppm_avg,complexed_cn_gpl_avg,recovery_au_pct,analogue_count,analog_specific_p25,analog_specific_p50,analog_specific_p75,analog_free_cn_p50,analog_complexed_p50,analog_recovery_p50
2025-11-03,High Cu,Critical,14570.826,3406.6875,4.941380811218252,478.9375,10.3095,68.52506799518962,20,1.63159688741471,2.0943470376668527,3.346859762797527,569.578125,8.417906250000001,79.67835960377283
2025-11-04,High Cu,Normal,15927.313,3133.0625,2.565404472179331,875.78125,9.81015625,76.96411489077471,20,1.434514709390731,2.103675324382091,3.328345598027109,687.421875,8.417906250000001,78.2477691377778
2025-11-05,Medium Cu,Normal,16324.452,2748.84375,1.7335957127381671,1037.3125,8.8376875,82.75312486832964,20,1.2719139212938866,1.4857539325639735,1.963772090236984,718.84375,7.261984374999999,77.93965591705225
2025-11-06,High Cu,Normal,17081.832,3019.71875,2.524904822855066,534.9375,9.165062500000001,80.22690189861925,20,1.6620019249005138,2.626339604792638,3.45777148792367,560.375,8.454890625,78.30460963798373
2025-11-07,High Cu,Watch,4123.8369999999995,3260.583333333333,5.504582261617034,319.4166666666667,9.476416666666667,81.50105770317761,20,2.6751578469328026,3.4043576793713477,5.000724441722502,518.953125,9.40955,79.3776324877339
2025-11-08,High Cu,Watch,12606.615,3430.321428571429,3.871380223795206,167.7857142857143,9.771857142857144,81.30632443679863,20,2.709972269884428,3.4741569669351557,5.260212065330697,502.4375,9.476758333333333,79.3776324877339
2025-11-09,High Cu,Watch,14258.853000000001,3855.90625,6.208774296221442,362.625,11.3555,77.75073865091575,20,2.709972269884428,3.4741569669351557,5.000724441722502,502.4375,9.624478571428572,79.3776324877339
2025-11-10,High Cu,Watch,15066.4185,3229.1875,1.2806626870214708,754.15625,10.05803125,73.29930357999531,20,2.6751578469328026,3.4043576793713477,5.000724441722502,518.953125,9.791006696428571,79.93164754377165
2025-11-11,High Cu,Watch,16667.8785,3626.8125,2.723801952360044,171.34375,10.350531250000001,73.82839733956902,20,2.7707898349827844,3.689154074376667,5.260212065330697,486.25,9.624136904761905,79.3776324877339
2025-11-12,High Cu,Critical,15970.657500000001,4164.375,4.832612558374631,146.6875,11.634875,72.65012153547178,20,2.741067740140558,3.4741569669351557,5.000724441722502,486.25,9.845397321428571,78.77186234251916
2025-11-13,High Cu,Critical,13495.230000000001,4539.041666666667,6.475991887503955,142.0,12.440916666666666,81.22552699407214,20,2.741067740140558,4.1760750161294915,5.260212065330697,449.28125,9.988484375,79.03062304370931
2025-11-14,High Cu,Critical,15349.603500000001,4527.21875,4.510539962807508,246.75,12.8804375,80.32728460236167,20,2.741067740140558,3.689154074376667,5.337196837139738,449.28125,10.101265625,79.03062304370931
2025-11-15,High Cu,Watch,15798.7935,4314.90625,3.8180130653647697,405.09375,12.753656249999999,81.82935333921192,20,2.741067740140558,3.4741569669351557,4.859804621585536,486.25,10.101265625,79.3776324877339
2025-11-16,High Cu,Watch,16667.8785,4073.40625,0.8999345657577238,298.75,11.794062499999999,77.96218812396157,20,2.741067740140558,3.6624704951614486,4.859804621585536,449.28125,10.227,79.93164754377165
2025-11-17,High Cu,Critical,15021.4995,4178.15625,3.5282762549770745,214.96875,11.871906249999999,84.68905625818451,20,2.741067740140558,4.1760750161294915,5.000724441722502,395.453125,10.337906250000001,80.27709325049045
2025-11-18,High Cu,Critical,13433.710500000001,4274.78125,4.650986039932899,236.78125,12.22946875,79.79470189869429,20,2.741067740140558,4.1760750161294915,5.337196837139738,358.78125,10.378250000000001,80.75052966974292
2025-11-19,High Cu,Critical,14517.6255,4500.625,3.566698975669265,166.78125,12.310406250000002,82.70530258356673,20,2.741067740140558,3.844696644579988,4.859804621585536,376.25,10.378250000000001,80.27709325049045
2025-11-20,High Cu,Critical,12460.140000000001,4772.90625,5.522409860563364,45.03125,11.99840625,76.85556465062132,20,3.3169016944021115,4.190960093301357,5.000724441722502,348.390625,10.49790625,80.75052966974292
2025-11-21,High Cu,Critical,16024.365,4911.6875,6.091661042418843,130.375,13.183375,74.82696835970319,20,3.5570932954962173,4.549663785125439,5.594937732635822,284.5625,10.972671875,80.06099325052799
2025-11-22,High Cu,Critical,7050.33,5090.25,8.640021105395066,101.33333333333334,13.6095,69.02724493947271,20,3.858038434187597,4.741799299153765,5.882306272244606,258.5625,11.4951875,79.10977739859443
2025-11-23,High Cu,Critical,15021.4995,5168.375,4.611057637754473,193.96875,14.345986607142859,63.648346751077554,20,3.7551845429408934,4.619886823688136,5.8397375098161275,241.765625,11.714468749999998,79.10977739859443
2025-11-24,High Cu,Critical,15166.0215,5243.8125,3.4178376972497366,261.21875,15.15878125,66.1859215630092,20,3.7551845429408934,4.631021838843687,5.8397375098161275,225.875,11.832984374999999,80.06099325052799
2025-11-25,High Cu,Watch,14910.1785,5182.75,5.521396004749372,318.6875,15.1438125,72.07836457203084,20,3.5570932954962173,4.631021838843687,5.8397375098161275,241.765625,11.935156249999999,79.10977739859443
2025-11-26,High Cu,Watch,17137.575,5407.75,2.516692122426889,153.3125,14.6145,74.3311127595373,20,3.48465536803103,4.190960093301357,5.004808419968317,241.765625,11.935156249999999,79.71554754380918
2025-11-27,High Cu,Critical,14773.4685,5724.5625,6.914422296971087,114.8125,15.13925,77.93121643432994,20,3.2443287610273135,4.164276514086139,5.52164946870287,225.875,12.269937500000001,77.85646338743865
