date,throughput_tpd,rt_hours_est,nacn_input_tpd,wad_cn_accountability_pct,cu_solution_fraction_pct_est,flag_count,flag_high_cu_solution_fraction,flag_high_wad_accountability,flag_high_specific_nacn,flag_high_rt,flag_low_rt
2025-11-01,11872.417,35.25,54.48,236.882,371.661,2,True,True,False,False,False
2025-11-02,14511.595,28.839,49.94,338.091,638.446,2,True,True,False,False,False
2025-11-03,14570.826,28.722,72.0,213.857,764.127,3,True,True,True,False,False
2025-11-04,15927.313,26.276,40.86,449.734,676.347,3,True,True,False,False,True
2025-11-05,16324.452,25.637,28.3,608.273,487.608,3,True,True,False,False,True
2025-11-06,17081.832,24.5,43.13,391.698,289.814,3,True,True,False,False,True
2025-11-07,4123.837,101.484,22.7,185.482,312.165,4,True,True,True,True,False
2025-11-08,12606.615,33.197,48.805,265.87,298.385,2,True,True,False,False,False
2025-11-09,14258.853,29.35,88.53,185.645,281.745,3,True,True,True,False,False
2025-11-10,15066.418,27.777,19.295,879.428,318.018,2,True,True,False,False,False
2025-11-11,16667.878,25.108,45.4,393.384,98.886,3,True,True,False,False,True
2025-11-12,15970.658,26.204,77.18,242.027,173.587,3,True,True,False,False,True
2025-11-13,13495.23,31.011,87.395,206.661,242.192,3,True,True,True,False,False
2025-11-14,15349.604,27.265,69.235,312.269,362.681,2,True,True,False,False,False
2025-11-15,15798.794,26.49,60.32,369.793,521.236,2,True,True,False,False,False
2025-11-16,16667.878,25.108,15.0,1469.829,536.468,3,True,True,False,False,True
2025-11-17,15021.5,27.86,53.0,355.875,378.927,2,True,True,False,False,False
2025-11-18,13433.711,31.153,62.48,278.624,118.671,2,True,True,False,False,False
2025-11-19,14517.626,28.827,51.78,364.307,135.728,2,True,True,False,False,False
2025-11-20,12460.14,33.587,68.81,227.12,128.878,3,True,True,True,False,False
2025-11-21,16024.365,26.117,97.615,210.411,236.225,4,True,True,True,False,True
2025-11-22,7050.33,59.359,60.915,160.571,670.81,3,True,True,True,False,False
2025-11-23,15021.5,27.86,69.265,323.756,351.393,2,True,True,False,False,False
2025-11-24,15166.022,27.595,51.835,457.892,324.453,2,True,True,False,False,False
2025-11-25,14910.178,28.068,82.325,291.842,289.007,3,True,True,True,False,False
2025-11-26,17137.575,24.42,43.13,597.61,288.044,3,True,True,False,False,True
2025-11-27,14773.468,28.328,102.15,220.608,187.437,3,True,True,True,False,False
2025-11-28,12375.185,33.818,71.505,301.916,223.07,3,True,True,True,False,False
2025-11-29,3711.676,112.753,30.645,212.926,267.054,4,True,True,True,True,False
2025-12-02,8414.5,49.736,36.0,362.338,880.279,2,True,True,False,False,False
2025-12-03,8805.1,47.53,58.78,225.745,870.541,3,True,True,True,False,False
2025-12-04,13133.925,31.864,64.695,303.276,855.685,3,True,True,True,False,False
2025-12-05,14454.153,28.954,44.13,472.798,298.782,2,True,True,False,False,False
2025-12-06,13678.812,30.595,13.62,1395.877,227.842,2,True,True,False,False,False
2025-12-07,12695.476,32.965,6.81,2293.326,186.824,2,True,True,False,False,False
2025-12-08,13258.917,31.564,37.455,399.042,204.395,2,True,True,False,False,False
2025-12-09,15041.03,27.824,52.21,324.674,200.898,2,True,True,False,False,False
2025-12-10,15320.309,27.317,46.535,359.345,128.899,2,True,True,False,False,False
2025-12-11,16057.566,26.063,59.02,299.175,218.408,3,True,True,False,False,True
2025-12-12,18003.73,23.245,64.695,306.671,160.675,3,True,True,False,False,True
2025-12-13,16905.168,24.756,72.215,284.513,184.993,3,True,True,False,False,True
2025-12-14,18128.722,23.085,59.4,371.044,153.216,3,True,True,False,False,True
2025-12-15,8536.563,49.025,28.8,307.672,277.813,2,True,True,False,False,False
