MEASURE_WHILE_DRILLING_PK,DATE_TIME,DRILL_PATTERN,PATTERN_HOLE_NUMBER,X,Y,Z,BOTTOM_Z,TOP_Z,CURRENT_DEPTH,TOTAL_DEPTH,MINE_HOLE_NUMBER,MWD_DRILL_NUMBER,MWD_DIAMETER,MWD_PEN,MWD_RPM,MWD_TORQUE,MWD_WOB,ACTUAL_MAST_ANGLE,ACTUAL_DRILL_HEADING,AUDIT_JOB_SK,AUDIT_ETL_SK,ODW_INSERT_DATE,ODW_UPDATE_DATE,GUID_HOLE_BY_HOLE,GUID_HOLE_DATA
43854217,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,409.8368,428.378,420.4075,10.5706787109,11.9194641113,5100001338593,3,251.0,2.6376035213,76.4368209839,1409.9466552734,10.102189064,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,DF51A738-B1F4-EE11-8ECC-0030646A8088
43854218,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,410.1445,428.378,420.4075,10.2629699707,11.9194641113,5100001338593,3,251.0,4.5905542374,82.8221359253,1524.9959716797,10.6207113266,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,50A07B2F-B1F4-EE11-8ECC-0030646A8088
43854219,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,410.4506,428.378,420.4075,9.9569396973,11.9194641113,5100001338593,3,251.0,4.6491479874,56.1760749817,2285.5295410156,12.614859581,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,4FA07B2F-B1F4-EE11-8ECC-0030646A8088
43854220,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,410.7605,428.378,420.4075,9.6470031738,11.9194641113,5100001338593,3,251.0,0.516559124,63.3181648254,2644.8095703125,15.22742939,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,4EA07B2F-B1F4-EE11-8ECC-0030646A8088
43854221,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,411.0704,428.378,420.4075,9.3371276855,11.9194641113,5100001338593,3,251.0,0.59088099,66.6536941528,1962.6832275391,15.577914238,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,C387271A-B1F4-EE11-8ECC-0030646A8088
43854222,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,411.3756,428.378,420.4075,9.0318908691,11.9194641113,5100001338593,3,251.0,1.1433647871,71.0684356689,2188.5993652344,15.4858541489,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,97DCE907-B1F4-EE11-8ECC-0030646A8088
43854223,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,411.6805,428.378,420.4075,8.7270202637,11.9194641113,5100001338593,3,251.0,0.496563226,67.1435928345,1959.2639160156,15.6041936874,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,5163F5FD-B0F4-EE11-8ECC-0030646A8088
43854224,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,411.9866,428.378,420.4075,8.4208679199,11.9194641113,5100001338593,3,251.0,0.3456165493,66.2940139771,1907.9681396484,15.6139030457,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,707659E8-B0F4-EE11-8ECC-0030646A8088
43854225,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,412.2918,428.378,420.4075,8.1156616211,11.9194641113,5100001338593,3,251.0,0.6136864424,67.7717285156,2140.0959472656,15.6175603867,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,01D0C1C8-B0F4-EE11-8ECC-0030646A8088
43854226,2024.04.07 15:40:36,B102_408_804,967.0,801634.476,7513065.008,412.5986,428.378,420.4075,7.8088684082,11.9194641113,5100001338593,3,251.0,0.9167259932,68.5910568237,1870.8000488281,15.6196737289,0.0,23.26,834774,24292396,2024.04.07 17:19:32,2024.04.07 17:19:32,34A3ED1E-B2F4-EE11-8ECC-0030646A8088,248AE5B6-B0F4-EE11-8ECC-0030646A8088
