pattern_id,pattern_type,pattern_source,point_id,x,y,floor_rl,crest_rl
2,Slot,fixed_slot,16,444531.31146335416,6812472.738994579,185.0,200.0
2,Slot,fixed_slot,17,444531.3699582262,6812494.044193013,185.0,200.0
2,Slot,fixed_slot,18,444532.7060980373,6812517.981515506,185.0,200.0
3,First production blast,fixed_first_production,1,444418.49132272985,6812480.268306226,185.0,200.0
3,First production blast,fixed_first_production,2,444425.8161320619,6812590.024158772,185.0,200.0
3,First production blast,fixed_first_production,3,444520.60527744313,6812583.6981870765,185.0,200.0
3,First production blast,fixed_first_production,4,444513.2804681111,6812473.94233453,185.0,200.0
3,First production blast,fixed_first_production,5,444418.49132272985,6812480.268306226,185.0,200.0
4,Production,auto_grid,1,444016.4344865814,6812426.0754833,185.0,200.0
4,Production,auto_grid,2,444003.7855981709,6812430.398620428,185.0,200.0
4,Production,auto_grid,3,443990.74899706064,6812433.609504946,185.0,200.0
4,Production,auto_grid,4,443977.3972267892,6812435.734052336,185.0,200.0
4,Production,auto_grid,5,443966.37827135524,6812436.606880418,185.0,200.0
4,Production,auto_grid,6,443958.6144541876,6812437.655691955,185.0,200.0
4,Production,auto_grid,7,443951.4839157677,6812439.056811555,185.0,200.0
4,Production,auto_grid,8,443944.97160460026,6812440.777965251,185.0,200.0
4,Production,auto_grid,9,443938.1741725858,6812443.085911773,185.0,200.0
4,Production,auto_grid,10,443932.1788767883,6812445.307323275,185.0,200.0
4,Production,auto_grid,11,443928.1685697622,6812446.975839179,185.0,200.0
4,Production,auto_grid,12,443926.91571438167,6812447.589096142,185.0,200.0
4,Production,auto_grid,13,443926.30089252087,6812448.0689665405,185.0,200.0
4,Production,auto_grid,14,443924.1021702544,6812450.046932475,185.0,200.0
4,Production,auto_grid,15,443920.91852457944,6812453.214893372,185.0,200.0
4,Production,auto_grid,16,443917.79262220085,6812456.569993011,185.0,200.0
4,Production,auto_grid,17,443915.43274662975,6812459.610183839,185.0,200.0
4,Production,auto_grid,18,443913.67556656426,6812462.317846221,185.0,200.0
4,Production,auto_grid,19,443914.77601153596,6812478.807050318,185.0,200.0
4,Production,auto_grid,20,444024.5318640826,6812471.482240987,185.0,200.0
4,Production,auto_grid,21,444021.3548193315,6812423.877007944,185.0,200.0
4,Production,auto_grid,22,444016.4344865814,6812426.0754833,185.0,200.0
5,Production,auto_grid,1,444118.366972357,6812415.714724039,185.0,200.0
5,Production,auto_grid,2,444077.5769672589,6812415.947063417,185.0,200.0
5,Production,auto_grid,3,444049.66611075116,6812416.36430157,185.0,200.0
5,Production,auto_grid,4,444038.47633313044,6812416.796155221,185.0,200.0
5,Production,auto_grid,5,444037.5858642507,6812417.086772313,185.0,200.0
5,Production,auto_grid,6,444032.968503162,6812418.8572811335,185.0,200.0
5,Production,auto_grid,7,444026.49333550263,6812421.5810451,185.0,200.0
5,Production,auto_grid,8,444021.3548193315,6812423.877007944,185.0,200.0
5,Production,auto_grid,9,444024.5318640826,6812471.482240987,185.0,200.0
5,Production,auto_grid,10,444134.2877166294,6812464.157431655,185.0,200.0
5,Production,auto_grid,11,444131.054136821,6812415.705070296,185.0,200.0
5,Production,auto_grid,12,444118.366972357,6812415.714724039,185.0,200.0
6,Production,auto_grid,1,444213.8606680162,6812416.461160272,185.0,200.0
6,Production,auto_grid,2,444171.4544904378,6812415.674329418,185.0,200.0
6,Production,auto_grid,3,444131.054136821,6812415.705070296,185.0,200.0
6,Production,auto_grid,4,444134.2877166294,6812464.157431655,185.0,200.0
6,Production,auto_grid,5,444244.04356917605,6812456.832622322,185.0,200.0
6,Production,auto_grid,6,444241.4406884738,6812417.830734682,185.0,200.0
6,Production,auto_grid,7,444213.8606680162,6812416.461160272,185.0,200.0
7,Production,auto_grid,1,444340.10559297114,6812426.24264578,185.0,200.0
7,Production,auto_grid,2,444324.7773927156,6812426.780275954,185.0,200.0
7,Production,auto_grid,3,444316.56933310354,6812427.773709939,185.0,200.0
